metric,value
condition,gpt_5_6_sol_multi_agent_stage2c_pilot24_same_samples
model,openai/gpt-5.6-sol
sample_count,24
agent1_parse_success,21
agent2_parse_success,21
agent3_parse_success,22
accuracy,0.5416666666666666
macro_F1,0.4876984126984127
balanced_accuracy,0.5416666666666666
qwen_single_agent_same_sample_accuracy,0.0
qwen_multi_agent_same_sample_accuracy,0.041666666666666664
gpt_single_agent_same_sample_accuracy,0.5416666666666666
revised_cases,0
uncertain_or_human_review_cases,7
estimated_pilot_cost_usd,0.66982
projected_full240_multi_agent_cost_usd,6.6982
