sample_id,anonymous_sample_id,true_species,qwen_single_agent_species,qwen_single_agent_correct,gpt_single_agent_species,gpt_single_agent_correct,qwen_multi_agent_species,qwen_multi_agent_correct,gpt_multi_agent_species,gpt_multi_agent_correct
rhinolophus_hipposideros_rec01_event001,sample_000001,Rhinolophus hipposideros,Plecotus auritus,false,Rhinolophus hipposideros,true,Plecotus auritus,false,Rhinolophus hipposideros,true
rhinolophus_hipposideros_rec01_event027,sample_000002,Rhinolophus hipposideros,Rhinolophus ferrumequinum,false,Rhinolophus hipposideros,true,Plecotus auritus,false,Rhinolophus hipposideros,true
rhinolophus_hipposideros_rec02_event001,sample_000004,Rhinolophus hipposideros,Plecotus auritus,false,Rhinolophus hipposideros,true,Plecotus auritus,false,Rhinolophus hipposideros,true
rhinolophus_ferrumequinum_rec01_event001,sample_000031,Rhinolophus ferrumequinum,Plecotus auritus,false,Rhinolophus ferrumequinum,true,Plecotus auritus,false,Rhinolophus ferrumequinum,true
rhinolophus_ferrumequinum_rec01_event027,sample_000032,Rhinolophus ferrumequinum,Pipistrellus pipistrellus,false,Rhinolophus ferrumequinum,true,Plecotus auritus,false,,false
rhinolophus_ferrumequinum_rec01_event054,sample_000033,Rhinolophus ferrumequinum,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false
myotis_daubentonii_rec01_event001,sample_000061,Myotis daubentonii,Pipistrellus pipistrellus,false,Myotis daubentonii,true,Pipistrellus pipistrellus,false,Rhinolophus hipposideros,false
myotis_daubentonii_rec01_event053,sample_000062,Myotis daubentonii,Pipistrellus pipistrellus,false,Myotis nattereri,false,Pipistrellus pipistrellus,false,Myotis daubentonii,true
myotis_daubentonii_rec01_event106,sample_000063,Myotis daubentonii,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Myotis daubentonii,true
myotis_nattereri_rec01_event001,sample_000091,Myotis nattereri,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Plecotus auritus,false,,false
myotis_nattereri_rec01_event011,sample_000092,Myotis nattereri,Pipistrellus pipistrellus,false,Myotis mystacinus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false
myotis_nattereri_rec01_event020,sample_000093,Myotis nattereri,Plecotus auritus,false,Myotis nattereri,true,Pipistrellus pipistrellus,false,Myotis nattereri,true
myotis_mystacinus_rec01_event001,sample_000121,Myotis mystacinus,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Myotis daubentonii,false
myotis_mystacinus_rec01_event025,sample_000122,Myotis mystacinus,Pipistrellus pipistrellus,false,Myotis daubentonii,false,Pipistrellus pipistrellus,false,Myotis daubentonii,false
myotis_mystacinus_rec01_event049,sample_000123,Myotis mystacinus,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false
plecotus_auritus_rec01_event011,sample_000152,Plecotus auritus,Pipistrellus pipistrellus,false,Myotis daubentonii,false,Pipistrellus pipistrellus,false,Myotis daubentonii,false
plecotus_auritus_rec02_event001,sample_000154,Plecotus auritus,Pipistrellus pipistrellus,false,Myotis daubentonii,false,Pipistrellus pipistrellus,false,Pipistrellus pipistrellus,false
plecotus_auritus_rec02_event010,sample_000155,Plecotus auritus,Pipistrellus pipistrellus,false,Ozimops petersi,false,Pipistrellus pipistrellus,false,Myotis daubentonii,false
pipistrellus_pipistrellus_rec04_event007,sample_000191,Pipistrellus pipistrellus,Plecotus auritus,false,Pipistrellus pipistrellus,true,Pipistrellus pipistrellus,true,Pipistrellus pipistrellus,true
pipistrellus_pipistrellus_rec05_event007,sample_000194,Pipistrellus pipistrellus,Plecotus auritus,false,Pipistrellus pipistrellus,true,Rhinolophus ferrumequinum,false,Pipistrellus pipistrellus,true
pipistrellus_pipistrellus_rec06_event001,sample_000196,Pipistrellus pipistrellus,Plecotus auritus,false,Pipistrellus pipistrellus,true,Plecotus auritus,false,Pipistrellus pipistrellus,true
ozimops_petersi_rec01_event001,sample_000211,Ozimops petersi,Pipistrellus pipistrellus,false,Ozimops petersi,true,Pipistrellus pipistrellus,false,Ozimops petersi,true
ozimops_petersi_rec01_event015,sample_000212,Ozimops petersi,Plecotus auritus,false,Ozimops petersi,true,Plecotus auritus,false,Ozimops petersi,true
ozimops_petersi_rec01_event030,sample_000213,Ozimops petersi,Pipistrellus pipistrellus,false,Ozimops petersi,true,Pipistrellus pipistrellus,false,Ozimops petersi,true
