file_name,likely_purpose,imported_by_tests,imported_by_scripts,referenced_in_docs_configs_experiments,recommended_target_location,migration_risk,reason
analyze_proposal_deviations.py,Audit BatDetect2-to-VLM geometry changes without altering predictions. The geometry flags depend only on proposal and prediction artifacts. Existing evaluation CSVs are read separa,no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
apply_policy_b_anchored_validator.py,Apply frozen P6E.4 Policy B to an arbitrary clip list in shadow mode.,no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
apply_proposal_preserving_validator.py,"Apply deterministic proposal-preserving rules in shadow mode. This script writes new constrained prediction artifacts. It never modifies the unconstrained P6D.2 predictions, source",no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
apply_timing_preserving_validator.py,"Apply independent timing and frequency proposal-preservation rules. This P6E.3 shadow-mode variant writes new predictions and never modifies its P6D.2 inputs, proposals, ground tru",no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
apply_timing_rule_ablation_validator.py,"Generate and summarize P6E.4 deterministic timing-rule ablations. The script operates only on existing proposal, VLM prediction, and P6E.1 audit artifacts. It writes new shadow-mod",no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
build_evaluation_set.py,Build a reproducible single-species clip evaluation set from AOEF data.,no,no,yes,scripts/data_prep/,low,Dataset/input/proposal preparation script.
build_event_characterisation_eval_dataset.py,Build the Pydantic Evals-compatible event-characterisation dataset. Expected outputs are generated exclusively from frozen ground-truth geometry and deterministic feature extractio,yes,no,no,scripts/data_prep/,medium,Dataset/input/proposal preparation script.
compare_min_db_spectrograms.py,Generate spectrogram images to compare min_db display ranges. This is an experiment-only script. It does not change the main visualization defaults or annotation pipeline.,no,no,no,scripts/analysis/,low,Analysis/report generation script.
compare_vlm_backends.py,Compare VLM backends on one grid-overlay spectrogram image. The script always saves the raw model response and appends one row to outputs/model_tests/backend_comparison_log.csv. Va,no,no,no,scripts/diagnostics/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
convert_aoef_to_eventresult.py,Convert one AOEF/Whombat recording to the demo EventResult JSON schema. This is a small ground-truth conversion helper. It does not call the agent and does not run any external cla,no,no,no,scripts/data_prep/,low,Dataset/input/proposal preparation script.
convert_batdetect2_proposals_to_predictions.py,Convert BatDetect2 proposal JSON into evaluator-compatible predictions.,no,no,no,scripts/data_prep/,low,Dataset/input/proposal preparation script.
convert_npz_to_wav.py,Likely handles convert npz to wav.,no,no,no,scripts/data_prep/,low,Dataset/input/proposal preparation script.
evaluate_prompt_v2_small_pilot.py,Evaluate existing Prompt V2 pilot predictions against clip-level ground truth.,no,no,yes,scripts/evaluation/,medium,Evaluation entry point/helper used by tests; move with compatibility wrapper.
evaluation.py,Simple box-level evaluation for bioacoustic event annotations. This script compares predicted time-frequency boxes against ground-truth boxes. It intentionally stays local and ligh,yes,no,yes,scripts/evaluation/,medium,Evaluation entry point/helper used by tests; move with compatibility wrapper.
event_characterisation_evaluators.py,Deterministic Pydantic Evals evaluators for event characterisation. No evaluator calls a model. Numeric values are compared with the expected features generated from frozen GT geom,yes,no,no,src/toy_audio_agent/,medium,"Reusable schemas/evaluators should become package modules, but imports and tests need coordinated updates."
event_characterisation_models.py,Pydantic models for deterministic event characterisation and later evals. Expected outputs contain only directly annotated or deterministically derived ground truth. Behaviour-rela,yes,no,no,src/toy_audio_agent/,medium,"Reusable schemas/evaluators should become package modules, but imports and tests need coordinated updates."
event_characterisation_retrieval.py,Transparent retrieval for P7 event-characterisation conditions. Retrieval is deterministic and rule based. Target cases are always excluded. Prompt-facing annotation records omit e,yes,no,no,src/toy_audio_agent/,medium,"Reusable schemas/evaluators should become package modules, but imports and tests need coordinated updates."
extract_event_characterisation_features.py,"Deterministically characterise event boxes and event sequences. This module contains no model calls. It derives geometry, ordering, interval, overlap, density, and boundary fields ",yes,no,no,src/toy_audio_agent/,medium,"Reusable schemas/evaluators should become package modules, but imports and tests need coordinated updates."
generate_grid_spectrogram_examples.py,Generate grid-overlay spectrogram examples for VLM localisation tests.,no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
main.py,Likely handles main.,yes,yes,no,keep at root temporarily,high,FastAPI demo app and shared pydantic/audio helpers are imported by legacy tools.
merge_tiled_predictions.py,"Merge tile-level Prompt V2 predictions into clip-level prediction JSON. This is an offline post-processing utility. It does not run a model, read ground truth, or change the frozen",yes,no,yes,scripts/maintenance/,medium,"Validation, repair or post-processing utility."
p7b1_reasoning_evaluators.py,Deterministic evaluators for P7B.1 knowledge-grounded reasoning. Reference labels are loaded only by evaluation code. They are deliberately absent from prompt construction and retr,yes,no,no,src/toy_audio_agent/,medium,"Reusable schemas/evaluators should become package modules, but imports and tests need coordinated updates."
plot_batdetect2_proposal_overlays.py,Plot human-only GT and BatDetect2 proposal diagnostic overlays.,no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
plot_evaluation_clip_ground_truth.py,Plot evaluation-set clips with ground-truth time-frequency boxes overlaid.,no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
plot_pilot_ground_truth.py,"Plot ground-truth boxes for every recording in the pilot subset. This script reads the pilot manifest, loads each EventResult ground-truth JSON, and saves a static spectrogram imag",no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
plot_prompt_v2_small_pilot_diagnostics.py,Create Prompt V2 pilot diagnostic overlays and a failure-analysis report.,no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
plot_tiled_spectrogram_contact_sheets.py,Create clean and GT-diagnostic contact sheets for P6 tiled inputs. Clean sheets concatenate the existing WAV-derived model inputs. Ground-truth sheets are written to a separate dia,no,no,no,scripts/visualization/,low,Plotting/diagnostic visualisation script.
prepare_agent_spectrogram_inputs.py,Generate clean spectrogram images for agent evaluation inputs. This script reads evaluation-set audio only. It does not load ground-truth JSON or ground-truth overlay figures.,no,yes,yes,scripts/data_prep/,medium,Dataset/input/proposal preparation script.
prepare_batdetect2_proposals.py,Convert native BatDetect2 JSON into stable clip-level proposal files.,no,no,no,scripts/data_prep/,low,Dataset/input/proposal preparation script.
prepare_pcen_spectrogram_inputs.py,Generate clean linear-frequency PCEN spectrograms and visual diagnostics. Model-input images are derived from WAV files only. Ground truth is read only for separately stored diagno,yes,yes,yes,scripts/data_prep/,medium,Dataset/input/proposal preparation script.
prepare_tiled_spectrogram_inputs.py,"Generate clean, original-coordinate spectrogram tiles for P6 experiments. The script reads evaluation WAV files only. It does not read ground truth, predictions, overlays, or diagn",no,no,no,scripts/data_prep/,low,Dataset/input/proposal preparation script.
repair_eventresult_json.py,"Repair simple EventResult schema issues in model raw outputs. This is intentionally conservative: - removes Markdown JSON fences - accepts either {""audio_path"": ..., ""events"": [...",no,no,no,scripts/maintenance/,low,"Validation, repair or post-processing utility."
run_batdetect2_proposal_inference.py,"Run isolated BatDetect2 inference for proposal-tool preparation. BatDetect2 is intentionally not a project dependency. Run this script through an isolated uvx environment, for exam",no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_event_characterisation_ablation.py,"Run the P7B knowledge-grounded event-characterisation ablation. This runner uses clean spectrograms, frozen event boxes, and deterministic features. It never reads GT overlays or a",yes,no,no,scripts/inference/,high,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_library_assisted_bbox_ablation.py,"Run P7C library-assisted BatDetect2 proposal refinement. Prediction uses only clean grid_v2 images, existing BatDetect2 proposal metadata, and condition-specific safe retrieval con",no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_p7b1_knowledge_grounded_reasoning.py,Run the non-trivial P7B.1 knowledge-grounding ablation. The frozen P7A Cases provide geometry and deterministic features. Reasoning reference labels are loaded only after inference,yes,no,yes,scripts/inference/,high,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_p7c_followup_checks.py,Run P7C diagnostic follow-up checks without changing frozen P7C outputs. This script performs two limited checks: 1. exactly one technical retry for the malformed baseline/OP_032 r,no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_prompt_v2_adaptive_zoom.py,Run a minimal adaptive overview-plus-zoom Prompt V2 prototype. This script uses clean spectrogram images generated from WAV audio only. It does not read ground-truth JSON during pr,no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_prompt_v2_batdetect2_assisted_pilot.py,"Run Prompt V2 with clean spectrograms and BatDetect2 proposal metadata. BatDetect2 proposals are untrusted hints. This runner does not read ground truth, proposal overlays, diagnos",no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_prompt_v2_gated_adaptive_zoom.py,Run P5D gated adaptive zoom on representative Prompt V2 clips.,no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_prompt_v2_small_pilot.py,Run Prompt V2 on the six clean spectrogram inputs without ground-truth access.,no,yes,yes,keep at root temporarily,high,Utility functions are imported by multiple newer inference scripts.
run_prompt_v2_tiled_pilot.py,"Run Prompt V2 independently on clean P6 spectrogram tiles. The runner reads only the prompt, tile manifest, and clean tile images. It does not read ground truth, overlays, diagnost",no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
run_pydantic_evals.py,Pydantic Evals orchestration wrapper for existing annotation metrics. This script does not run the agent and does not replace ``evaluation.py``. It uses Pydantic Evals to organize ,no,no,no,scripts/inference/,medium,Experiment runner; preserve frozen reproducibility and update imports before moving.
